title_x,imdb_id,poster_path,wiki_link,title_y,original_title,is_adult,year_of_release,runtime,imdb_rating,imdb_votes,story,tagline,release_date,location,wins,nominations,genre1,genre2,genre3,actor1,actor2,actor3,actor4,actor5,actor6,actor7,actor8,actor9,actor10,actor11,actor12,actor13,actor14,actor15
Uri: The Surgical Strike,tt8291224,https://upload.wikimedia.org/wikipedia/en/thumb/3/3b/URI_-_New_poster.jpg/220px-URI_-_New_poster.jpg,https://en.wikipedia.org/wiki/Uri:_The_Surgical_Strike,Uri: The Surgical Strike,Uri: The Surgical Strike,0,2019,138,8.4,35112.0,Divided over five chapters  the film chronicles the events of the surgical strike conducted by the Indian military against suspected militants in Pakistan occupied Kashmir. It tells the story of the 11 tumultuous events over which the operation was carried out. Indian army special forces carry out a covert operation to avenge the killing of fellow army men at their base by a terrorist group.,,01/11/2019,USA,4,0,Action,Drama,War,Vicky Kaushal,Paresh Rawal,Mohit Raina,Yami Gautam,Kirti Kulhari,Rajit Kapoor,Ivan Rodrigues,Manasi Parekh,Swaroop Sampat,Riva Arora,Yogesh Soman,Fareed Ahmed,Akashdeep Arora,Kallol Banerjee,
Battalion 609,tt9472208,,https://en.wikipedia.org/wiki/Battalion_609,Battalion 609,Battalion 609,0,2019,131,4.1,73.0,The story revolves around a cricket match between the Indian Army and the Pakistan Army gone wrong and narrates the tale of the soldiers of Battalion 609 putting up a fight with Taliban. After an attack on Indian Army that is Battalion 609 near the LOC  the match which was to be played between India and Pakistan is cancelled. Anwar Hussein  a Pakistani soldier who is very fond of cricket and was looking forward to the match  throws a cricket bat at the other end of the LOC and calls the Indian army and Indians a bunch of cowards. In anger  the Indian army throws a ball towards them. Soon  a verbal fight breaks between them which leads to the two teams deciding to play a cricket match. The losing team will take their post eighteen kilometres back.,,01/11/2019,India,0,0,War,,,Vicky Ahuja,Shoaib Ibrahim,Shrikant Kamat,Elena Kazan,Vishwas Kini,Major Kishore,Jashn Kohli,Rammy C. Pandey,Manish Sharma,Sparsh Sharma,Farnaz Shetty,Vikas Shrivastav,Chandraprakash Thakur,Brajesh Tiwari,
The Accidental Prime Minister (film),tt6986710,https://upload.wikimedia.org/wikipedia/en/thumb/a/a1/The_Accidental_Prime_Minister_film.jpg/220px-The_Accidental_Prime_Minister_film.jpg,https://en.wikipedia.org/wiki/The_Accidental_Prime_Minister_(film),The Accidental Prime Minister,The Accidental Prime Minister,0,2019,112,6.1,5549.0,Based on the memoir by Indian policy analyst Sanjaya Baru  The Accidental Prime Minister explores Manmohan Singh's tenure as the Prime Minister of India  and the interference of Congress Party in contradicting his decisions during his first tenure. He details how Singh fell a victim to Congress Party's dynastic approach. It highlights how Manmohan Singh was constantly ignored by Congress to maintain turf for Rahul Gandhi  the son of Sonia Gandhi and Rajiv Gandhi.,,01/11/2019,USA,0,0,Biography,Drama,,Anupam Kher,Akshaye Khanna,Aahana Kumra,Atul Sharma,Manoj Anand,Arjun Mathur,Suzanne Bernert,Abdul Quadir Amin,Bharat Mistri,Divya Seth,Anil Rastogi,Ramesh Bhatkar,Parrgash Kaur,Jess Kaur,
Why Cheat India,tt8108208,https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/Why_Cheat_India_poster.jpg/220px-Why_Cheat_India_poster.jpg,https://en.wikipedia.org/wiki/Why_Cheat_India,Why Cheat India,Why Cheat India,0,2019,121,6.0,1891.0,The movie focuses on existing malpractices in country's education system  the whole concept of buying your way through education  jobs and earnings. Even with an evolving education system  the country faces scams like SSC and HSC paper leaks  CBSE re-examination  Vyaapam  etc. The movie tries to shift the attention of people to understand the vulnerability of hardworking and gifted students who get left out.,,01/18/2019,USA,0,0,Crime,Drama,,Emraan Hashmi,Shreya Dhanwanthary,Snighdadeep Chatterji,Navneet Srivastava,Nanda Yadav,,,,,,,,,,
Evening Shadows,tt6028796,,https://en.wikipedia.org/wiki/Evening_Shadows,Evening Shadows,Evening Shadows,0,2018,102,7.3,280.0,While gay rights and marriage equality has been embraced by most countries  a small town in Southern India lives within a cocoon of traditions and social morality. In such a milieu when a young gay man Kartik  comes out to his mother Vasudha  her entire world comes crashing down. She has no one to turn to dispel her fears and doubts  to understand her loving son's truth. Moreover as a woman  trapped within a patriarchal conservative society  her biggest challenge is to deal with her dogmatic husband Damodar  and the conservative society around her. 'Evening Shadows' is a universal story about a mother-son bonding and its emotional strength to withstand the ravages of time and harsh realities.,,01/11/2019,India,17,1,Drama,,,Mona Ambegaonkar,Ananth Narayan Mahadevan,Devansh Doshi,Arpit Chaudhary,Yamini Singh,Abhay Kulkarni,Veena Nair,Disha Thakur,Kala Ramanathan,Sushant Divgikar,,,,,
Soni (film),tt6078866,https://upload.wikimedia.org/wikipedia/en/thumb/d/de/Soni_India_Netflix_Movie_Poster.jpg/220px-Soni_India_Netflix_Movie_Poster.jpg,https://en.wikipedia.org/wiki/Soni_(film),Soni,Soni,0,2018,97,7.2,1595.0,Soni  a young policewoman in Delhi  and her superintendent  Kalpana  have collectively taken on a growing crisis of violent crimes against women. However  their alliance suffers a major setback when Soni is transferred out for alleged misconduct on duty.,,01/18/2019,USA,3,5,Drama,,,Geetika Vidya Ohlyan,Saloni Batra,Vikas Shukla,Mohit Chauhan,Himanshu Kohli,Gauri Chakraborty,Mohinder Gujral,Upasya Goswami,Simrat Kaur,Dimple Kaur,Prateek Pachori,Kalpana Jha,Samar,,
Fraud Saiyaan,tt5013008,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Fraud_Saiyyan_film_poster.jpg/220px-Fraud_Saiyyan_film_poster.jpg,https://en.wikipedia.org/wiki/Fraud_Saiyaan,Fraud Saiyaan,Fraud Saiyyan,0,2019,109,4.2,504.0,Fraud Saiyyan is the story of a con artist in North India who convinces women to marry him just so he can live off their money.,,01/18/2019,India,0,0,Comedy,Drama,,Arshad Warsi,Saurabh Shukla,Flora Saini,Sara Loren,Varun Badola,Deepali Pansare,Nivedita Tiwari,Peeyush Suhaney,Preeti Sood,Parag Tyagi,Anangsha Biswas,Amanda Rosario,Elli Avrram,,
Bombairiya,tt4971258,https://upload.wikimedia.org/wikipedia/en/thumb/b/bb/Bombairiya_poster.jpg/220px-Bombairiya_poster.jpg,https://en.wikipedia.org/wiki/Bombairiya,Bombairiya,Bombairiya,0,2019,104,4.3,295.0,It follows the story of Meghna  who gets embroiled in a series of events after her phone gets stolen.,They didn't mean to change the world.,01/18/2019,India,0,0,Comedy,Crime,Drama,Radhika Apte,Akshay Oberoi,Siddhanth Kapoor,Ravi Kishan,Adil Hussain,Shilpa Shukla,Ajinkya Deo,Amit Sial,,,,,,,
Manikarnika: The Queen of Jhansi,tt6903440,https://upload.wikimedia.org/wikipedia/en/thumb/4/44/Manikarnika_Poster.jpg/220px-Manikarnika_Poster.jpg,https://en.wikipedia.org/wiki/Manikarnika:_The_Queen_of_Jhansi,Manikarnika: The Queen of Jhansi,Manikarnika: The Queen of Jhansi,0,2019,148,6.5,7361.0,Manikarnika born in Varanasi when Dixt a minister in Jhansi princely state sees her he proposes her marriage to Gangadar Rao prince of Jhansi.Sadashiv Rao plots along with British officers to conquer Jhansi as he Is promised a stake in it after conquering Jhansi.After the birth of Lakshmi and Gangadar Rao's son Sadashiv Rao sees his place in fear and poison the holy water during the naming ceremony of the child following which he passes away and also leaves Gangadar Rao on death bed.Gangadar Rao decides to adopt a son and Sadashiv Rao feels guilty of not adopting his son instead a toddler who comes running to Lakshmi Bai.After death of Gangadar Rao.The East India Company decides to conquer on Jhansi as there is no male ruler.But Lakshmi Bai decides to take the throne on herself and fight for Jhansi.,,01/25/2019,USA,0,0,Action,Biography,Drama,Kangana Ranaut,Rimi Sen,Atul Kulkarni,Nalneesh Neel,Danny Denzongpa,Mishti,Kulbhushan Kharbanda,Mohammed Zeeshan Ayyub,Anil George,Vikram Kochhar,Edward Sonnenblick,Ankita Lokhande,Richard Keep,Jishu Sengupta,
Thackeray (film),tt7777196,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Thackeray_film_poster.jpeg/220px-Thackeray_film_poster.jpeg,https://en.wikipedia.org/wiki/Thackeray_(film),Thackeray,Thackeray,0,2019,120,5.1,2301.0,Balasaheb Thackrey works as a cartoonist for a newspaper. But his editor isn't happy with it as he creates cartoons of politician which affects the sales of his paper.He is asked to try something else but he quits his job and now his only aim is to fight for the rights of Marathi people. He sees that Marathi people don't have any respect and are made to do all odd works. With a few people  he starts to help the needy and gains respect. To fight for the rights he also goes against the law and comes in the eye of politics. After entering politics he starts his own party named after Shivaji Maharaj as Shiv Sena. After giving Marathi Manoos his equal rights his only wish is that one day the Chief Minister of Maharashtra should be a Marathi Manoos.,,01/25/2019,India,0,0,Biography,Drama,,Nawazuddin Siddiqui,Amrita Rao,Abdul Quadir Amin,Sanjay Narvekar,Prakash Belawadi,Vineet Sharma,Radha Sagar,Sonamoni Jayant Gadekar,Satish Alekar,Micky Makhija,Nikhil Mahajan,Resh Lamba,Jaywant Wadkar,Laxman Singh Rajput,
